Subject,Description,Category,Urgency,Team,Confidence,Sentiment,Summary,Reason,Human Review
Cannot Login,I reset my password three times but still cannot login to my account.,Authentication,High,Identity Team,95,Frustrated,The user is unable to login to their account after multiple password resets.,"The issue is related to the login process and password reset, which falls under the authentication category, and the user's inability to access their account warrants a high urgency.",False
Payment Failed,My money was deducted but my subscription is still inactive.,Billing,High,Billing Team,95,Frustrated,Payment was deducted but subscription remains inactive,"The customer's payment was processed but their subscription was not activated, indicating a potential billing issue requiring immediate attention",False
Application Crashes,The application crashes whenever I open the dashboard.,Technical,High,Technical Team,95,Frustrated,The application crashes when opening the dashboard.,"I selected the Technical category because the issue is related to the application's functionality, and High urgency because the application is unusable in its current state.",False
Account Locked,My account has been locked after multiple failed login attempts.,Authentication,High,Identity Team,95,Frustrated,The user's account has been locked due to multiple failed login attempts.,"I selected the Authentication category because the issue is related to account access, and High urgency because the user is currently locked out of their account.",False
Dark Mode Feature,Please add a dark mode option for better usability.,Feature Request,Low,Product Team,95,Neutral,The user is requesting a dark mode feature for better usability.,"I selected the category as Feature Request because the user is asking for a new feature, and the urgency as Low because it's not a critical issue, but rather an improvement.",False
How to Change Email,I want to change the email linked to my account.,Account,Low,Support Team,95,Neutral,The user wants to change the email linked to their account.,"I selected the category as Account because the issue is related to the user's account settings, and the urgency is Low because it's not a critical issue.",False
Worst Service Ever,I have contacted support five times and still no solution.,General,High,Support Team,90,Angry,Customer has not received a solution after multiple support requests,"The customer has expressed frustration after repeated attempts to contact support, indicating a high level of urgency and a need for the Support Team to address the issue",False
Thank You,My issue was resolved quickly. Great support team.,General,Low,Support Team,95,Positive,The user's issue was resolved quickly.,"The category is General because the user is expressing gratitude, and the urgency is Low because the issue is already resolved.",False
Production Server Down,Our production application is completely unavailable.,Technical,High,Technical Team,98,Frustrated,Production application is completely unavailable,"Selected Technical category because the issue is related to the production application being down, and High urgency because it affects the entire production environment",False
2026-07-16 22:54:40,Cannot login,"I have been trying to log into my account since this morning. Even after resetting my password twice, I keep receiving an ""Invalid credentials"" error. Please help me regain access as soon as possible.",Authentication,High,Identity Team,95,"The user is experiencing an issue with logging in, which falls under authentication, and the urgency is high because they need access to their account as soon as possible."
